title,description,opportunity_type,required_skills,location,is_remote,is_paid,commitment_hours,duration_weeks,company_name
"Junior Python Developer Intern","Ищем мотивированного стажера для работы над AI-продуктами. Вы будете участвовать в разработке backend-систем на Python, работать с базами данных PostgreSQL и изучать машинное обучение под руководством опытных менторов. Отличная возможность получить реальный опыт в продуктовой разработке.","INTERNSHIP","Python,Django,PostgreSQL,Git","Almaty",false,true,20,12,"TechHub KZ"
"Marketing Lead - Student Club","Ищем активного студента для управления маркетингом нашего студенческого клуба программирования. Обязанности включают SMM, организацию мероприятий и привлечение новых участников. Отличный опыт для будущих маркетологов и продакт-менеджеров.","PROJECT","Marketing,SMM,Event Planning,Communication","Remote",true,false,10,16,"CodeClub UNT"
"Data Analysis Research Assistant","Помощник в исследовательском проекте по анализу данных о успеваемости студентов. Работа с Python, pandas, и визуализацией данных. Возможность стать соавтором научной публикации. Требуется базовое знание статистики.","RESEARCH","Python,Pandas,Statistics,Data Visualization","Astana",false,true,15,20,"UNT Research Lab"
"Cofounder - EdTech Startup","Ищем технического сооснователя для стартапа в области образования. Мы разрабатываем платформу для персонализированного обучения с использованием AI. Нужен разработчик с опытом в React и Node.js, готовый работать над продуктом в свободное время.","COFOUNDER","React,Node.js,TypeScript,AI/ML","Remote",true,false,15,52,"EduAI Startup"
"UI/UX Design Mentorship","Опытный дизайнер из Google ищет ментии из Казахстана для 3-месячной программы менторства. Вы научитесь проектировать пользовательские интерфейсы, проводить исследования и создавать дизайн-системы. Требуется базовое знание Figma.","MENTORSHIP","Figma,UI Design,User Research","Remote",true,false,5,12,"Design Mentors KZ"
"Hackathon Team Member - FinTech","Ищем 2-3 разработчиков в команду для участия в FinTech Hackathon 2024. Хакатон пройдет 15-17 января в Алматы. Призовой фонд $10,000. Нужны навыки в мобильной разработке или backend.","HACKATHON","React Native,Python,Finance,API Development","Almaty",false,false,48,1,"FinTech KZ"
"Junior Frontend Developer","Компания Kolesa Group ищет начинающего frontend-разработчика. Вы будете работать над одним из крупнейших маркетплейсов Казахстана. Обучение на месте, опытные наставники, конкурентная зарплата.","PART_TIME","JavaScript,React,CSS,Git","Almaty",false,true,20,24,"Kolesa Group"
"Content Writer - Tech Blog","Технологический блог ищет автора для написания статей о программировании, карьере в IT и технологических трендах. Статьи на русском языке, 2-3 статьи в месяц. Оплата за статью.","PROJECT","Writing,Tech Knowledge,Russian","Remote",true,true,8,12,"TechBlog.kz"
"QA Testing Intern","Стажировка в отделе тестирования. Вы научитесь писать тест-кейсы, проводить мануальное и автоматизированное тестирование. Работа с Selenium и Postman. Возможность трудоустройства после стажировки.","INTERNSHIP","Testing,Selenium,Postman,SQL","Astana",false,true,30,8,"Freedom Finance"
"Debate Club Coordinator","Набираем координатора для организации дебатного клуба в НУ. Обязанности: организация еженедельных встреч, подготовка к турнирам, привлечение спикеров. Развитие лидерских и ораторских навыков.","CLUB","Public Speaking,Event Organization,Leadership","Astana",false,false,8,32,"NU Debate Club"
